,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
320,1992-12-02,New Mexico State University,,,,,Sim Bhullar
321,1945-06-08,University of Connecticut,37th overall,4th round,St. Louis Hawks,1967,Wesley Bialosuknia
322,1932-03-26,Bowling Green State University,18th overall,2nd round,Minneapolis Lakers,1954,Al Bianchi
323,1922-01-14,Long Island University,,1947 BAA Draf,Boston Celtics,,Hank Biasatti
324,1949-11-24,"University of California, Los Angeles",58th overall,4th round,New York Knicks,1972,Henry Bibby
325,1978-05-13,University of Arizona,2nd overall,1st round,Vancouver Grizzlies,1998,Mike Bibby
326,1945-08-12,North Carolina State University,96th overall,9th round,St. Louis Hawks,1967,Ed Biedenbach
327,1986-04-02,,11th overall,1st round,Golden State Warriors,2004,Andris Biedrins
328,,Valparaiso University,67th overall,8th round,Fort Wayne Pistons,1954,Don Bielke
329,1953-12-26,University of Pennsylvania,13th overall,1st round,Kansas City Kings,1975,Bob Bigelow
330,1952-08-31,Duquesne University,72nd overall,4th round,Milwaukee Bucks,1974,Lionel Billingy
331,1976-09-25,University of Colorado,3rd overall,1st round,Boston Celtics,1997,Chauncey Billups
332,1943-11-24,Syracuse University,2nd overall,1st round,Detroit Pistons,1966,Dave Bing
333,1961-03-26,North Carolina Agricultural and Technical State University,57th overall,3rd round,San Antonio Spurs,1984,Joe Binion
334,1992-09-28,"University of Pittsburgh, University of Nevada, Las Vegas",,,,,Khem Birch
335,1994-07-03,University of California,56th overall,2nd round,Boston Celtics,2017,Jabari Bird
336,1935-02-02,University of Kentucky,,1956 NBA Draf,Minneapolis Lakers,,Jerry Bird
337,1956-12-07,Indiana State University,6th overall,1st round,Boston Celtics,1978,Larry Bird
338,1955-12-09,University of Houston,2nd overall,1st round,Kansas City Kings,1977,Otis Birdsong
339,1922-06-04,Washington State University,,,,,Gale Bishop
340,1992-08-28,,7th overall,1st round,Sacramento Kings,2011,Bismack Biyombo
341,1988-05-09,,35th overall,2nd round,Washington Wizards,2010,Nemanja Bjelica
342,1962-03-26,Indiana University,17th overall,1st round,Dallas Mavericks,1985,Uwe Blab
343,1921-06-15,University of Kansas,,,,,Charlie Black
344,1957-11-12,Saint Joseph's University,,,,,Norman Black
345,1991-11-22,"University of Memphis, University of Kansas",,,,,Tarik Black
346,1941-07-09,South Dakota State University,72nd overall,9th round,Baltimore Bullets,1964,Tom Black
347,1959-02-26,Kansas State University,9th overall,1st round,Dallas Mavericks,1981,Rolando Blackman
348,1970-06-27,Monmouth University,,,,,Alex Blackwell
349,1963-03-27,University of Wisconsin,28th overall,2nd round,Seattle SuperSonics,1984,Cory Blackwell
350,1968-02-25,Dartmouth College,,,,,James Blackwell
351,1965-02-15,Temple University,27th overall,2nd round,San Antonio Spurs,1987,Nate Blackwell
352,1989-04-22,University of Pittsburgh,37th overall,2nd round,San Antonio Spurs,2009,DeJuan Blair
353,1980-02-26,University of Maryland,38th overall,2nd round,Washington Wizards,2003,Steve Blake
354,1996-10-04,Louisiana State University,,,,,Antonio Blakeney
355,1983-09-08,Iowa State University,60th overall,2nd round,Detroit Pistons,2006,Will Blalock
356,1939-11-12,College of the Holy Cross,33rd overall,4th round,New York Knicks,1961,George Blaney
357,1966-09-09,"University of Virginia, University of Texas at Austin",26th overall,1st round,Detroit Pistons,1990,Lance Blanks
358,1966-04-21,Louisiana State University,46th overall,2nd round,Phoenix Suns,1989,Ricky Blanton
359,1986-08-22,,49th overall,2nd round,Washington Wizards,2005,Andray Blatche
360,1967-03-20,"Midland College, University of Oklahoma",12th overall,1st round,New Jersey Nets,1989,Mookie Blaylock
361,1989-12-09,University of Kentucky,18th overall,1st round,Oklahoma City Thunder,2010,Eric Bledsoe
362,1926-06-25,University of Arizona,1950 NBA Draft,7th roun,Indianapolis Olympians,,Leon Blevins
363,1944-04-16,University of Southern California,27th overall,3rd round,Los Angeles Lakers,1966,John Block
364,1915-01-14,Temple University,,,,,Mike Bloom
365,1993-09-16,Clemson University,59th overall,2nd round,San Antonio Spurs,2017,Jaron Blossomgame
366,1969-01-04,University of Cincinnati,25th overall,1st round,Chicago Bulls,1993,Corie Blount
367,1975-11-30,University of Pittsburgh,54th overall,2nd round,Seattle SuperSonics,1997,Mark Blount
368,1992-07-17,Marquette University,,,,,Vander Blue
369,1958-09-23,Oregon State University,36th overall,2nd round,Indiana Pacers,1981,Ray Blume
370,1924-02-25,Temple University,1949 BAA Draft,3rd roun,Philadelphia Warriors,,Nelson Bobb
371,1979-10-22,University of Cincinnati,,,,,Tony Bobbitt
372,1933-07-08,University of Dayton,17th overall,3rd round,Cincinnati Royals,1958,Bucky Bockhorn
373,1945-08-23,University of Tennessee,4th overall,1st round,Chicago Bulls,1968,Tom Boerwinkle
374,1980-05-12,University of Kentucky,43rd overall,2nd round,Milwaukee Bucks,2003,Keith Bogans
375,1992-08-18,,27th overall,1st round,Phoenix Suns,2014,Bogdan Bogdanovic
376,1989-04-18,,31st overall,2nd round,Miami Heat,2011,Bojan Bogdanovic
377,1965-01-09,Wake Forest University,12th overall,1st round,Washington Bullets,1987,Muggsy Bogues
378,1984-11-28,University of Utah,1st overall,1st round,Milwaukee Bucks,2005,Andrew Bogut
379,1973-05-29,"University of Arizona, University of Tennessee, Auburn University at Montgomery",,,,,Etdrick Bohannon
380,1962-10-16,University of Bridgeport,97th overall,5th round,San Diego Clippers,1983,Manute Bol
381,1996-01-02,"University of California, Los Angeles",36th overall,2nd round,Philadelphia 76ers,2017,Jonah Bolden
382,1931-08-21,Georgetown University,,1953 NBA Draf,Milwaukee Hawks,,Bill Bolger
383,1994-01-28,Weber State University,52nd overall,2nd round,Utah Jazz,2016,Joel Bolomboy
384,1931-10-29,University of Minnesota,57th overall,8th round,Detroit Pistons,1957,Doug Bolstorff
385,1935-07-01,University of Illinois at Urbana-Champaign,7th overall,1st round,Syracuse Nationals,1957,George Bon Salle
386,1954-07-27,University of Louisville,62nd overall,3rd round,Houston Rockets,1977,Phil Bond
387,1969-02-01,University of Minnesota,,,,,Walter Bond
388,1970-04-27,"University of Nevada, Las Vegas",,,,,Dexter Boney
389,1999-11-08,,39th overall,2nd round,Philadelphia 76ers,2018,Isaac Bonga
390,1942-05-31,University of Cincinnati,16th overall,2nd round,Boston Celtics,1964,Ron Bonham
391,1968-06-08,Saint Louis University,23rd overall,1st round,Sacramento Kings,1990,Anthony Bonner
392,1980-04-05,University of Florida,45th overall,2nd round,Chicago Bulls,2003,Matt Bonner
393,1945-07-20,Cheyney University of Pennsylvania,,,,,Butch Booker
394,1996-10-30,University of Kentucky,13th overall,1st round,Phoenix Suns,2015,Devin Booker
395,1972-08-20,University of Missouri,,,,,Melvin Booker
396,1987-11-25,Clemson University,23rd overall,1st round,Minnesota Timberwolves,2010,Trevor Booker
397,1984-11-21,University of Connecticut,23rd overall,1st round,New Jersey Nets,2006,Josh Boone
398,1946-09-06,Idaho State University,147th overall,11th round,Phoenix Suns,1968,Ron Boone
399,1976-05-07,Pennsylvania State University,35th overall,2nd round,Washington Wizards,1999,Calvin Booth
400,1974-10-09,University of Maryland,28th overall,1st round,Chicago Bulls,1997,Keith Booth
401,1937-04-26,Kansas State University,1st overall,1st round,Cincinnati Royals,1959,Bob Boozer
402,1981-11-20,Duke University,35th overall,2nd round,Cleveland Cavaliers,2002,Carlos Boozer
403,1980-09-13,Stanford University,18th overall,1st round,Orlando Magic,2002,Curtis Borchardt
404,1927-06-29,Muhlenberg College,,,,,Jake Bornheimer
405,1972-09-20,,,,,,Lazaro Borrell
406,1924-07-25,Temple University,1950 NBA Draft,5th roun,Philadelphia Warriors,,Ike Borsavage
407,1927-03-11,University of Denver,,,,,Vince Boryla
408,1984-03-24,Georgia Institute of Technology,4th overall,1st round,Toronto Raptors,2003,Chris Bosh
409,1953-01-28,New Mexico State University,139th overall,8th round,Kansas City Kings,1975,Jim Bostic
410,1956-05-18,University of Maryland,81st overall,4th round,Washington Bullets,1978,Lawrence Boston
411,1953-10-02,"South Carolina State University, University of South Carolina",17th overall,1st round,Boston Celtics,1975,Tom Boswell
412,1993-01-11,University of Oregon,,,,,Chris Boucher
413,1978-05-20,Georgetown University,50th overall,2nd round,Portland Trail Blazers,2001,Ruben Boumtje-Boumtje
414,1925-03-06,Western Michigan University,1949 BAA Draft,6th roun,Indianapolis Olympians,,Don Boven
415,1977-03-31,Old Dominion University,17th overall,1st round,Atlanta Hawks,1999,Cal Bowdler
416,1971-06-14,"California State University, Fullerton",,,,,Bruce Bowen
417,1975-11-20,University of Iowa,55th overall,2nd round,Denver Nuggets,1998,Ryan Bowen
418,1940-07-07,Grambling State University,,,,,Tommie Bowens
419,1963-11-09,University of Oklahoma,66th overall,3rd round,Houston Rockets,1986,Anthony Bowie
420,1961-03-17,University of Kentucky,2nd overall,1st round,Portland Trail Blazers,1984,Sam Bowie
421,1939-03-21,University of Tennessee,76th overall,11th round,New York Knicks,1963,Orbie Bowling
422,1973-06-11,"Providence College, University of Pennsylvania",,,,,Ira Bowman
423,1943-03-19,Wichita State University,7th overall,1st round,Cincinnati Royals,1965,Nate Bowman
424,1973-09-02,University of Colorado,42nd overall,2nd round,Atlanta Hawks,1995,Donnie Boyce
425,1954-05-21,University of Detroit Mercy,72nd overall,4th round,New Orleans Jazz,1977,Dennis Boyd
426,1950-06-13,Oregon State University,5th overall,1st round,Philadelphia 76ers,1972,Freddie Boyd
427,1952-03-25,Boston University,154th overall,9th round,New Orleans Jazz,1974,Ken Boyd
428,1976-06-02,Eastern Michigan University,,,,,Earl Boykins
429,1922-07-24,St. John's University,,,,,Harry Boykoff
430,1957-05-17,University of San Francisco,13th overall,1st round,New Jersey Nets,1978,Winford Boynes
431,1983-03-07,"University of California, Los Angeles",,,,,Cedric Bozeman
432,1950-08-01,University of Tulsa,21st overall,2nd round,Atlanta Hawks,1972,Steve Bracey
433,1987-10-09,Iowa State University,21st overall,1st round,Oklahoma City Thunder,2010,Craig Brackins
434,1942-07-26,Ohio State University,3rd overall,1st round,Baltimore Bullets,1964,Gary Bradds
435,1959-10-30,Villanova University,86th overall,4th round,New York Knicks,1981,Alex Bradley
436,1953-10-16,Texas Southern University,29th overall,2nd round,Indiana Pacers,1977,Alonzo Bradley
437,1990-11-26,University of Texas at Austin,19th overall,1st round,Boston Celtics,2010,Avery Bradley
438,1941-06-16,,,,,,Bill Bradley
439,1943-07-28,Princeton University,,1965 NBA Draft,New York Knicks,,Bill Bradley
440,1959-05-16,University of Wyoming,23rd overall,1st round,Boston Celtics,1981,Charles Bradley
441,1957-03-19,University of North Carolina,13th overall,1st round,Indiana Pacers,1979,Dudley Bradley
442,1952-03-16,Northern Illinois University,48th overall,3rd round,Los Angeles Lakers,1974,Jim Bradley
443,1928-09-24,Oklahoma State University,,,,,Joe Bradley
444,1979-04-18,"University of Kentucky, Villanova University",17th overall,1st round,Toronto Raptors,2001,Michael Bradley
445,1972-03-22,Brigham Young University,2nd overall,1st round,Philadelphia 76ers,1993,Shawn Bradley
446,1998-01-08,University of North Carolina,28th overall,1st round,Los Angeles Lakers,2017,Tony Bradley
447,1968-09-27,,,,,,Mark Bradtke
448,1970-03-24,Providence College,,,,,Marques Bragg
449,1976-05-15,Xavier University,57th overall,2nd round,Utah Jazz,1998,Torraye Braggs
450,1977-01-10,University of Arizona,39th overall,2nd round,Cleveland Cavaliers,1999,AJ Bramlett
451,1963-11-17,University of Maryland,46th overall,2nd round,Chicago Bulls,1985,Adrian Branch
452,1979-03-11,Duke University,1st overall,1st round,Chicago Bulls,1999,Elton Brand
453,1970-05-20,University of Oregon,11th overall,1st round,Cleveland Cavaliers,1991,Terrell Brandon
454,1925-05-28,Michigan State University,,,,,Bob Brannum
455,1958-09-24,Southern Methodist University,45th overall,2nd round,Detroit Pistons,1980,Brad Branson
456,1942-01-07,Elon University,13th overall,2nd round,Philadelphia 76ers,1965,Jesse Branson
457,1931-02-03,New York University,,1952 NBA Draf,Syracuse Nationals,,Jim Brasco
458,1955-10-17,Stanford University,66th overall,3rd round,Phoenix Suns,1977,Mike Bratz
459,1927-09-25,Colgate University,,,,,Carl Braun
460,1970-09-19,University of Wyoming,,,,,Tim Breaux
461,1980-09-19,St. Bonaventure University,,,,,JR Bremer
462,1936-09-23,University of North Carolina,4th overall,1st round,New York Knicks,1958,Pete Brennan
463,1930-08-06,Villanova University,and Philadelphia Warriors,1952 NBA Draf,Philadelphia Warriors,8th ,Tom Brennan
464,1960-10-11,University of Minnesota,18th overall,1st round,Milwaukee Bucks,1983,Randy Breuer
465,1986-03-05,University of Florida,7th overall,1st round,Minnesota Timberwolves,2007,Corey Brewer
466,1980-11-19,Auburn University,41st overall,2nd round,Indiana Pacers,2001,Jamison Brewer
467,1951-12-03,University of Minnesota,2nd overall,1st round,Cleveland Cavaliers,1973,Jim Brewer
468,1955-09-16,University of Arkansas,7th overall,1st round,Portland Trail Blazers,1978,Ron Brewer
469,1985-03-20,University of Arkansas,14th overall,1st round,Utah Jazz,2006,Ronnie Brewer
470,1979-10-02,,27th overall,1st round,Indiana Pacers,2000,Primoz Brezec
471,1923-05-01,Louisiana State University,,,,,Frankie Brian
472,1959-08-14,Pennsylvania State University,57th overall,3rd round,New York Knicks,1981,Frank Brickowski
473,1953-09-17,University of Louisville,8th overall,1st round,Los Angeles Lakers,1975,Junior Bridgeman
474,1939-04-04,University of Kansas,32nd overall,3rd round,Chicago Packers,1961,Bill Bridges
475,1996-08-30,Villanova University,10th overall,1st round,Philadelphia 76ers,2018,Mikal Bridges
476,1998-03-21,Michigan State University,12th overall,1st round,Los Angeles Clippers,2018,Miles Bridges
477,1923-09-22,University of Charleston,,,,,Al Brightman
478,1923-12-31,Dartmouth College,,,,,Aud Brindley
479,1996-04-13,University of Kentucky,,,,,Isaiah Briscoe
480,1947-06-15,University of Toledo,,,,,John Brisker
481,1951-08-23,Virginia Polytechnic Institute and State University,21st overall,2nd round,Philadelphia 76ers,1973,Allan Bristow
482,1944-04-18,Johnson C. Smith University,,,,,Tyrone Britt
483,1952-08-31,University of Michigan,60th overall,4th round,Los Angeles Lakers,1976,Wayman Britt
484,1963-06-21,University of South Carolina,29th overall,2nd round,San Antonio Spurs,1985,Mike Brittain
485,1958-08-29,Texas A&M University,57th overall,3rd round,Dallas Mavericks,1980,Dave Britton
486,1987-03-20,University of Washington,38th overall,2nd round,Portland Trail Blazers,2009,Jon Brockman
487,1990-08-23,Valparaiso University,,,,,Ryan Broekhoff
488,1958-02-24,West Virginia Wesleyan College,,,,,Jim Brogan
489,1992-12-11,University of Virginia,36th overall,2nd round,Milwaukee Bucks,2016,Malcolm Brogdon
490,1954-01-11,University of Notre Dame,18th overall,1st round,Milwaukee Bucks,1974,Gary Brokaw
491,1920-05-11,West Texas A&M University,,,,,Price Brookfield
492,,Temple University,118th overall,9th round,Philadelphia 76ers,1968,Clarence Brookins
493,1985-01-14,University of Oregon,26th overall,1st round,Houston Rockets,2007,Aaron Brooks
494,1996-01-22,University of Oregon,45th overall,2nd round,Houston Rockets,2017,Dillon Brooks
495,1969-10-12,University of Louisiana at Lafayette,18th overall,1st round,Milwaukee Bucks,1991,Kevin Brooks
496,1989-01-26,Providence College,25th overall,1st round,Boston Celtics,2011,MarShon Brooks
497,1958-08-17,La Salle University,9th overall,1st round,San Diego Clippers,1980,Michael Brooks
498,1965-07-31,"Texas Christian University, University of California, Irvine",,,,,Scott Brooks
499,1981-05-12,DePaul University,,,,,Andre Brown
500,1992-10-10,Stanford University,34th overall,2nd round,Los Angeles Lakers,2015,Anthony Brown
501,1923-11-12,Miami University,,,,,Bob Brown
502,1984-09-24,"California State University, Fullerton",,,,,Bobby Brown
503,1996-08-15,University of Miami,42nd overall,2nd round,Detroit Pistons,2018,Bruce Brown
504,1968-02-29,North Carolina State University,43rd overall,2nd round,Cleveland Cavaliers,1989,Chucky Brown
505,1979-06-28,Syracuse University,37th overall,2nd round,Philadelphia 76ers,2001,Damone Brown
506,1923-03-14,Humboldt State University,,1948 BAA Draf,Baltimore Bullets,,Darrell Brown
507,1968-11-29,Jacksonville University,19th overall,1st round,Boston Celtics,1990,Dee Brown
508,1984-08-17,University of Illinois at Urbana-Champaign,46th overall,2nd round,Utah Jazz,2006,Dee Brown
509,1987-09-08,Xavier University,40th overall,2nd round,Charlotte Bobcats,2009,Derrick Brown
